,Kitui Central Wards,Financial Year,Project_Count,Total_Awarded
0,Kyangwithya East,FY 2013-2014,3,1521024.0
1,Kyangwithya East,FY 2014-2015,9,9929000.0
2,Kyangwithya East,FY 2015-2016,46,28568693.0
3,Kyangwithya East,FY 2016-2017,24,13704833.0
4,Kyangwithya East,FY 2017-2018,27,6223000.0
5,Kyangwithya East,FY 2018-2019,23,12307554.0
6,Kyangwithya East,FY 2019-2020,15,9940000.0
7,Kyangwithya East,FY 2020-2021,22,3935000.0
8,Kyangwithya East,FY 2021-2022,15,16765000.0
9,Kyangwithya East,FY 2022-2023,12,19779266.0
10,Kyangwithya East,FY 2023-2024,22,13637568.0
11,Kyangwithya East,FY 2024-2025,22,29058070.0
12,Kyangwithya West,FY 2013-2014,4,4865155.0
13,Kyangwithya West,FY 2014-2015,22,7866016.0
14,Kyangwithya West,FY 2015-2016,31,53800345.0
15,Kyangwithya West,FY 2016-2017,33,12573135.0
16,Kyangwithya West,FY 2017-2018,38,6508000.0
17,Kyangwithya West,FY 2018-2019,9,0.0
18,Kyangwithya West,FY 2019-2020,10,2098000.0
19,Kyangwithya West,FY 2020-2021,22,27183000.0
20,Kyangwithya West,FY 2021-2022,24,5722345.0
21,Kyangwithya West,FY 2022-2023,32,28217440.0
22,Kyangwithya West,FY 2023-2024,29,2680000.0
23,Kyangwithya West,FY 2024-2025,33,56358205.0
24,Miambani,FY 2013-2014,1,2500000.0
25,Miambani,FY 2014-2015,23,19032503.0
26,Miambani,FY 2015-2016,21,13404581.0
27,Miambani,FY 2016-2017,28,18364950.0
28,Miambani,FY 2017-2018,25,11464000.0
29,Miambani,FY 2018-2019,22,15743600.0
30,Miambani,FY 2019-2020,10,19231956.0
31,Miambani,FY 2020-2021,20,13549100.0
32,Miambani,FY 2021-2022,15,13660717.0
33,Miambani,FY 2022-2023,29,17697328.0
34,Miambani,FY 2023-2024,22,20698178.0
35,Miambani,FY 2024-2025,19,13851987.0
36,Mulango,FY 2013-2014,6,1629522.0
37,Mulango,FY 2014-2015,23,20031616.0
38,Mulango,FY 2015-2016,41,267710876.0
39,Mulango,FY 2016-2017,45,103998888.0
40,Mulango,FY 2017-2018,31,22898377.0
41,Mulango,FY 2018-2019,8,1720000.0
42,Mulango,FY 2019-2020,10,4061805.0
43,Mulango,FY 2020-2021,16,9407943.0
44,Mulango,FY 2021-2022,12,187376000.0
45,Mulango,FY 2022-2023,36,13534270.0
46,Mulango,FY 2023-2024,49,133546077.0
47,Mulango,FY 2024-2025,21,265050257.0
48,Township,FY 2013-2014,9,91343620.0
49,Township,FY 2014-2015,17,151364755.0
50,Township,FY 2015-2016,35,302871286.0
51,Township,FY 2016-2017,16,748056573.0
52,Township,FY 2017-2018,14,502470520.0
53,Township,FY 2018-2019,10,60360000.0
54,Township,FY 2019-2020,5,7455000.0
55,Township,FY 2020-2021,3,3716028.0
56,Township,FY 2021-2022,8,97601688.0
57,Township,FY 2022-2023,15,37425652.0
58,Township,FY 2023-2024,29,643852117.0
59,Township,FY 2024-2025,33,1259934518.0
