,index,start,end,Project Name/ Title,Type of Project,"If Other,Please Specify ",subcounty,Kitui Central Wards,Kitui East Wards,Kitui South Wards,Kitui Rural Wards,Kitui West Wards,Mwingi Central Wards,Mwingi West Wards,Mwingi North Wards,Ngomeni Ward Villages,Kyuso Ward Villages,Mumoni Ward Villages,Tseikuru Ward Villages,Tharaka Ward Villages,Kyome/Thaana Ward Villages,Nguutani Ward Villages,Mwigwani Ward Villages,Kiomo/Kyethani Ward Villages,Mwingi Central Ward Villages,Kivou Ward Villages,Nguni Ward Villages,Nuu Ward Villages,Mui Ward Villages,Waita Ward Villages,Mutonguni Ward Villages,Kauwi Ward Villages,Matinyani Ward Villages,Kwa Mutonga/Kithumula Ward Villages,Kisasi Ward Villages,Mbitini Ward Villages,Kwa Vonza/Yatta Ward Villages,Kanyangi Ward Villages,Miambani Ward Villages,Township Ward Villages,Kyangwithya West Ward Villages,Mulango Ward Villages,Kyangwithya East Ward Villages,Zombe/Mwitika Ward Villages,Nzambani Ward Villages,Chuluni Ward Villages,Voo Kyamatu Ward Villages,Endau/Malalani Ward Villages,Mutito/Kaliku Ward Villages,Ikanga/Kyatune Ward Villages,Mutomo/Kibwea Ward Villages,Mutha Ward Villages,Kanziku/Simisi Ward Villages,Athi Ward Villages,Ikutha Ward Villages,GeoPoint ,_GeoPoint _latitude,_GeoPoint _longitude,_GeoPoint _altitude,_GeoPoint _precision,Financial Year,Project Description ,"If Other (Not Listed),Please Specify",Project Goal/Objective,Project Goal/Objective/Increase access to clean and safe drinking water,Project Goal/Objective/Reduce waterborne diseases through improved sanitation,Project Goal/Objective/Enhance water storage capacity for drought resilience,Project Goal/Objective/Improve wastewater management,Project Goal/Objective/improve road connectivity for better mobility and trade,Project Goal/Objective/Enhance safety through street lighting and footbridges.,Project Goal/Objective/Reduce traffic congestion with better road networks,Project Goal/Objective/Boost economic activities by upgrading markets and bus parks,Project Goal/Objective/Increase access to healthcare in underserved areas,Project Goal/Objective/Improve maternal and child health outcomes.,Project Goal/Objective/Strengthen emergency medical response systems.,Project Goal/Objective/Equip health facilities with modern tools for better diagnosis,Project Goal/Objective/Reduce classroom overcrowding by constructing new facilities,Project Goal/Objective/Enhance digital literacy through ICT hubs.,Project Goal/Objective/Support needy students to reduce dropout rates.,Project Goal/Objective/Improve early childhood education through ECD centers,Project Goal/Objective/Boost food security through irrigation and farm inputs.,Project Goal/Objective/Increase livestock productivity via vaccination programs,"Project Goal/Objective/Promote alternative farming methods (e.g., fish farming).",Project Goal/Objective/Improve meat hygiene standards in slaughterhouses.,"Project Goal/Objective/Expand renewable energy access (solar, biogas).",Project Goal/Objective/Combat climate change through tree-planting initiatives,Project Goal/Objective/Improve waste management to reduce pollution,Project Goal/Objective/Mitigate flood risks through drainage systems.,Project Goal/Objective/Empower youth through vocational training,Project Goal/Objective/Promote talent development via sports facilities.,Project Goal/Objective/Provide affordable housing for low-income families,Project Goal/Objective/Enhance inclusivity for persons with disabilities.,Project Goal/Objective/Streamline service delivery through e-government,Project Goal/Objective/Support SMEs with grants and market linkages.,Project Goal/Objective/Boost tourism revenue by developing attractions,Project Goal/Objective/Enhance transparency in county operations.,"Project Goal/Objective/Improve emergency response (fire, police, ambulances).",Project Goal/Objective/Enhance community preparedness for disasters.,Project Goal/Objective/Reduce crime rates through police post installations.,Project Goal/Objective/Protect lives with flood early warning systems.,Project Goal/Objective/Modernize county offices for efficient service delivery,Project Goal/Objective/Upgrade slums to improve living conditions.,Project Goal/Objective/Reduce traffic accidents with better road systems.,Project Goal/Objective/Create green spaces for recreation and tourism.,"Project Goal/Objective/Poverty Reduction (via jobs, agriculture, grants).",Project Goal/Objective/Sustainable Development (environmental conservation).,Project Goal/Objective/Equitable Resource Distribution (reaching marginalized areas).,"Project Goal/Objective/Improved Quality of Life (health, water, housing).",Project Goal/Objective/Other,Project Goal/Objective/Enhance water access to households,Project Goal/Objective/Increase access to clean and safe drinking water.1,Project Goal/Objective/Reduce waterborne diseases through improved sanitation.1,"Project Goal/Objective/Improve emergency response (fire, police, ambulances)..1",Project Goal/Objective/Enhance community preparedness for disasters,Project Goal/Objective/Reduce crime rates through police post installations..1,Project Goal/Objective/Protect lives with flood early warning systems..1,Project Goal/Objective/Modernize county offices for efficient service delivery.1,Project Goal/Objective/Upgrade slums to improve living conditions..1,Project Goal/Objective/Reduce traffic accidents with better road systems..1,Project Goal/Objective/Create green spaces for recreation and tourism,"Project Goal/Objective/Poverty Reduction (via jobs, agriculture, grants)..1",Project Goal/Objective/Sustainable Development (environmental conservation)..1,Project Goal/Objective/Equitable Resource Distribution (reaching marginalized areas)..1,"Project Goal/Objective/Improved Quality of Life (health, water, housing)..1","If Other,Please Specify",Project Output,Select Specific Entity ,Select Specific Entity /Office of the Governor,Select Specific Entity /Office of the Deputy Governor,Select Specific Entity /County Ministry of Agriculture & Livestock,Select Specific Entity /County Ministry of Education,"Select Specific Entity /County Ministry of Finance, Revenue Management and Accounting","Select Specific Entity /County Ministry of Lands, Housing and Urban Development","Select Specific Entity /County Ministry of Trade, Industry, MSMEs, Innovation and Co-operatives","Select Specific Entity /County Ministry of Culture, Gender, Youth, ICT, Sports and Social Services","Select Specific Entity /County Ministry of Energy, Environment, Forestry, Natural & Mineral ",Select Specific Entity /County Ministry of Health & Sanitation,"Select Specific Entity /County Ministry of Roads, Public Works & Transport",Select Specific Entity /County Ministry of Water & Irrigation,Select Specific Entity /Partnership,"If partnership, specify(Select County Ministry/All That Applies and Write Specific Partnership)",Project Start Date,Expected Project Completion Date,Actual Project Completion Date,Estimated Project Cost (KES),Approved Project Cost (KES),Amount paid for work done to date (KES),Project Cost Balance,Source Of Funds For The Project,"If County Government of kitui & Partnership,specify The Partner(Add partner only)",Project Status at the time of the Exercise,"if Complete,Specify ","if not Operational,State Reasons ",Project Completion Rate For Ongoing Projects(%),Year That Project Stalled,Time Required To Complete The Stalled Project (in Months),Estimate Cost To Complete The Stalled Project(KES),Recommendation for the Stalled Project,Identify the Reasons associated with the ongoing project,Identify the Reasons associated with the stalled project,"If Other,Please Specify.1","If Other,Please Specify .1",Has this project been screened for Climate & Disaster Risks?,"If yes, what action has been taken to mitigate?",Remarks,_id,_uuid,_submission_time,_status,_submitted_by,__version__,_index,Duration (days)
0,46,2025-06-16 09:41:07.590,2025-06-16 09:58:23.410,construction of (2) four door latrines at kyangunga primary ,Public Buildings,,Kitui Central,Mulango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyangunga,,,,,,,,,,,,,,-1.4744643 38.0105061 1042.051 1.318,-1.4744643,38.0105061,1042.051,1.318,FY 2022-2023,Other,public toilet,Reduce waterborne diseases through improved sanitation,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,public toilet,"County Ministry of Lands, Housing and Urban Development",0,0,0,0,0,1,0,0,0,0,0,0,0,,2023-08-08,2025-06-16,2023-08-07,1009000,1009000,1900000,0,County Government of Kitui,,Complete,Operational,,,,,,,,,,,Yes,planting trees around the project,"complete ,in use and helpful to the  school.improved sanitation ",498183065,e80389e8-5089-4254-8599-2af0214d9d76,2025-06-16 06:59:07,submitted_via_web,va_gmusembi,vpC4DjogscgMgk8fQLBLtH,47,-1
1,49,2025-06-16 10:02:50.906,2025-06-16 10:15:44.007,Ecde class at kyangunga primary school,Housing Projects,,Kitui Central,Mulango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyangunga,,,,,,,,,,,,,,-1.4746512 38.0102526 1054.737 1.481,-1.4746512,38.0102526,1054.737,1.481,FY 2014-2015,EDE Classroom Construction,,Reduce classroom overcrowding by constructing new facilities,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ECDE class,County Ministry of Education,0,0,0,1,0,0,0,0,0,0,0,0,0,,2014-01-12,2025-06-16,2014-06-15,800000,800000,800000,0,County Government of Kitui,,Complete,Operational,,,,,,,,,,,No,,Complete but no desks .,498192523,b0bf371b-9a95-4ace-8e6d-816895e693c8,2025-06-16 07:16:41,submitted_via_web,va_gmusembi,vpC4DjogscgMgk8fQLBLtH,50,154
2,65,2025-06-16 10:50:56.543,2025-06-16 11:09:03.576,construction of mertenity at kyangunga helth centre ,Hospitals & Health Centers,,Kitui Central,Mulango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyangunga,,,,,,,,,,,,,,-1.4744205 38.0113411 1019.893 3.756,-1.4744205,38.0113411,1019.893,3.756,FY 2015-2016,Health Facility Construction/Renovation/Upgrading,,Increase access to healthcare in underserved areas,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,mertenity ward,County Ministry of Health & Sanitation,0,0,0,0,0,0,0,0,0,1,0,0,0,,2015-07-23,2016-04-21,2016-03-22,3500000,3121500,3121500,0,County Government of Kitui,,Complete,Operational,,,,,,,,,,,No,,"needs(1)radiant infant warmer
           (2)kitchen and laundry
           (3) solar installation for back 
                up
            (4)bedside utra sound machine ",498225638,16f8f472-2a8c-454f-88e5-304436e32139,2025-06-16 08:09:46,submitted_via_web,va_gmusembi,vpC4DjogscgMgk8fQLBLtH,66,243
3,74,2025-06-16 11:12:31.378,2025-06-16 11:26:09.775,Renovation of kyangunga Dispensary ,Hospitals & Health Centers,,Kitui Central,Mulango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyangunga,,,,,,,,,,,,,,-1.4742075 38.0111496 1002.226 1.708,-1.4742075,38.0111496,1002.226,1.708,FY 2016-2017,Health Facility Construction/Renovation/Upgrading,,Increase access to healthcare in underserved areas,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Health center ,County Ministry of Health & Sanitation,0,0,0,0,0,0,0,0,0,1,0,0,0,,2016-11-22,2017-04-24,2017-05-22,12500000,12195200,12195200,0,County Government of Kitui,,Complete,Operational,,,,,,,,,,,Yes,"(1) fire extinguishers
(2) exit doors
(3) enough ventilation ","(1) at the moment,the roof needs renovation
(2)brocken widows  needs repair
(3)walls needs painting ",498235483,435dab39-139c-43f8-8ef1-30bfd358791c,2025-06-16 08:26:28,submitted_via_web,va_gmusembi,vpC4DjogscgMgk8fQLBLtH,75,181
4,80,2025-06-16 11:33:22.751,2025-06-16 11:44:45.106,Equiping of kyangunga Dispensary ,Medical Equipment,,Kitui Central,Mulango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyangunga,,,,,,,,,,,,,,-1.4745609 38.011316 1020.312 1.776,-1.4745609,38.011316,1020.312,1.776,FY 2022-2023,Medical Equipment Supply,,Increase access to healthcare in underserved areas,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Health center ,County Ministry of Health & Sanitation,0,0,0,0,0,0,0,0,0,1,0,0,0,,2018-09-18,2016-09-23,2016-09-23,200000,200000,200000,0,County Government of Kitui,,Complete,Operational,,,,,,,,,,,Yes,(1) incinerator ,"(1) stiil needs,automated blood pressure monitoring machine ",498247004,f17accc0-9c05-4e7c-a161-d26995a47f7d,2025-06-16 08:45:06,submitted_via_web,va_gmusembi,vpC4DjogscgMgk8fQLBLtH,81,-725
5,122,2025-06-16 12:16:45.347,2025-06-16 12:26:19.381,Construction of boda boda shed at Museve ,Roads,,Kitui Central,Kyangwithya East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museve,,,,,,,,,,,,,-1.325241 38.0628618 1340.7 3.84,-1.325241,38.0628618,1340.7,3.84,FY 2013-2014,Other,Construction of boda boda shed at Museve ,Other,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Provide shade of boda boda operators and their customers,Boda boda shed,"County Ministry of Trade, Industry, MSMEs, Innovation and Co-operatives",0,0,0,0,0,0,1,0,0,0,0,0,0,,2024-03-06,2025-06-16,2025-06-13,458000,458000,458000,0,County Government of Kitui,,Complete,Operational,,,,,,,,,,,No,,Operational ,498278746,79b9c3fa-9a28-4dee-bc16-9bfc5dc400a5,2025-06-16 09:26:29,submitted_via_web,va_pmuteta,vpC4DjogscgMgk8fQLBLtH,123,464
6,128,2025-06-16 12:06:10.411,2025-06-16 12:32:38.865,"Construction of market shed, public toilet and refuse bin at Museve shopping centre ",Public Buildings,,Kitui Central,Kyangwithya East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museve,,,,,,,,,,,,,-1.3256287 38.0628272 1275.4 3.48,-1.3256287,38.0628272,1275.4,3.48,FY 2015-2016,Bus Park & Market Rehabilitation,,Boost economic activities by upgrading markets and bus parks,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Market shed,"County Ministry of Trade, Industry, MSMEs, Innovation and Co-operatives",0,0,0,0,0,0,1,0,0,0,0,0,0,,2016-04-05,2025-06-02,2025-06-11,1765295,1765295,1765295,0,County Government of Kitui,,Complete,Operational,,,,,,,,,,,No,,"Rehabilitation of the roof needed, refuse bin required and official operationalization required ",498282899,1753340f-11f7-4c84-b86f-72f41c695d40,2025-06-16 09:32:47,submitted_via_web,va_pmuteta,vpC4DjogscgMgk8fQLBLtH,129,3354
7,160,2025-06-16 12:06:01.815,2025-06-16 12:16:55.573,kyangunga water project,Water Supply Systems:,,Kitui Central,Mulango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyangunga,,,,,,,,,,,,,,-1.4752348 38.010739 1026.008 1.498,-1.4752348,38.010739,1026.008,1.498,FY 2015-2016,Construction of Water Kiosks,,Enhance water access to households,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water kiosk,County Ministry of Water & Irrigation,0,0,0,0,0,0,0,0,0,0,0,1,0,,2016-05-15,2016-05-16,2025-06-16,0,0,0,0,County Government of Kitui,,Complete,Operational,,,,,,,,,,,Yes,tree planting ,operational,498313646,ffead9da-e7db-4ee4-9762-88e52b67e29c,2025-06-16 10:14:22,submitted_via_web,va_gmusembi,vpC4DjogscgMgk8fQLBLtH,161,3319
8,164,2025-06-13 13:26:00.679,2025-06-16 13:15:36.359,Construction of 2 door pit latrine at kalawa primary school ,Schools & Classrooms:,,Kitui Central,Kyangwithya East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalawa,,,,,,,,,,,,,-1.3629937 38.0229653 0.0 4199.999,-1.3629937,38.0229653,0.0,4199.999,FY 2016-2017,Other,School support program ,"Improved Quality of Life (health, water, housing).",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Toilet ,Office of the Governor,1,0,0,0,0,0,0,0,0,0,0,0,0,,2016-08-08,2025-06-16,2017-11-09,321068,321068,321068,0,County Government of Kitui,,Complete,Operational,,,,,,,,,,,No,,In use,498316436,10272690-69a5-4567-a1ac-f4f4e7b07ea0,2025-06-16 10:18:28,submitted_via_web,va_sngove,vpC4DjogscgMgk8fQLBLtH,165,458
9,188,2025-06-16 13:18:47.266,2025-06-16 13:31:15.144,Construction of ECDE classroom at kalawa primary school ,Schools & Classrooms:,,Kitui Central,Kyangwithya East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalawa,,,,,,,,,,,,,-1.3614946 38.0262732 0.0 2700.0,-1.3614946,38.0262732,0.0,2700.0,FY 2015-2016,Early Childhood Development (ECD) Centers,,Improve early childhood education through ECD centers,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ECDE classroom ,Office of the Governor,1,0,0,0,0,0,0,0,0,0,0,0,0,,2015-12-09,2016-11-10,2016-12-09,914175,914175,914175,0,County Government of Kitui,,Complete,Operational,,,,,,,,,,,No,,In use,498325961,c0098b0c-7ec0-4a47-b562-0aab49fe1e6c,2025-06-16 10:31:34,submitted_via_web,va_sngove,vpC4DjogscgMgk8fQLBLtH,189,366
